MANEUVER;Maneuver Date;Maneuver Type;Delta Vr Theory;Delta Vt Theory;Delta Vn Theory;Thruster Coefficient Theory;Epoch BM;Semi Major Axis BM;Eccentricity  BM;Inclination BM;RAAN BM;Arg Of Perigee BM;Mean Anomally BM;Total Propellant;Fuel Consumed;Epoch AM;Semi Major Axis AM ;Eccentricity  AM;Inclination AM;RAAN AM;Arg Of Perigee AM;Mean Anomally AM;Delta Vr Ranging;Delta Vt Ranging ;Delta Vn Ranging;Thruster Coefficient Ranging
1;14/5/2014 16:57;South_SKM001;0.138;0;-2.709;0.85;11/5/2014 11:00;42164467.42;0.000367;0.080717;70.361349;340.28196;256.149984;883.999977;3.069;14/5/2014 18:00;42167130.98;0.000448;0.049142;99.285781;316.57214;359.18953;0.006;0.011;-2.902;0.911
2;10/6/2014 18:01;South_SKM001;0.186;0;-3.667;0.85;7/6/2014 13:00;42166418.41;0.000376;0.110094;87.012208;331.140457;305.350875;879.511156;4.146;10/6/2014 19:00;42166694.56;0.000419;0.044617;88.898663;338.765736;29.02768;0.003;0.018;-3.924;0.91
3;30/6/2014 17:20;South_SKM001;0.14;0;-2.765;0.85;27/6/2014 13:00;42164783.39;0.00029;0.096526;86.110911;9.647018;287.440366;876.078223;3.162;30/6/2014 18:30;42167149.3;0.000344;0.050884;85.863877;12.534736;10.476171;0.025;0.009;-2.998;0.921
4;2/8/2014 15:56;South_SKM001;0.216;0;-4.251;0.85;29/7/2014 17:00;42165434.04;0.00032;0.124241;93.274961;41.982082;339.605837;870.892249;4.606;2/8/2014 18:00;42165245.57;0.000316;0.04577;78.170039;56.426789;359.276567;0.013;0.014;-4.59;0.918
5;16/9/2014 12:29;South_SKM000;0.2;0;-3.929;0.85;13/9/2014 13:00;42164647.09;0.000304;0.119701;93.564251;87.796029;278.690513;866.032146;4.27;16/9/2014 14:00;42165709.28;0.000333;0.047456;87.688842;91.050073;299.323494;0.004;-0.003;-4.263;0.922
6;5/11/2014 06:59;South_SKM001;0.211;0;-4.156;0.85;2/11/2014 13:00;42166125.6;0.000429;0.120991;80.103621;129.307145;299.947864;860.822756;4.553;5/11/2014 08:00;42165385.38;0.000365;0.048636;106.396933;120.009214;210.695749;0.036;0.003;-4.552;0.931
7;1/12/2014 06:16;South_SKM001;0.163;0;-3.202;0.92;28/11/2014 16:00;42165133.74;0.000369;0.10661;86.286537;140.151818;353.677681;857.187035;3.188;1/12/2014 07:00;42164895.42;0.000402;0.053149;96.632207;138.245714;212.815168;0.046;-0.009;-3.193;0.917
8;21/12/2014 05:46;South_SKM001;0.149;0;-2.931;0.92;18/12/2014 13:00;42165779.08;0.000377;0.097591;87.221046;163.352071;304.116413;853.858425;2.923;21/12/2014 07:00;42166411.43;0.000247;0.054175;81.943479;168.839984;216.619829;0.03;0.045;-2.932;0.92
9;16/1/2015 04:47;South_SKM001;0.197;0;-3.878;0.92;13/1/2015 13:00;42165978.22;0.000323;0.117381;90.876356;179.533317;309.908259;849.530402;3.811;16/1/2015 06:00;42165328.03;0.000262576;0.055257;78.069981;203.925222;195.997548;0.027;-0.012;-3.827;0.908
10;13/2/2015 03:31;South_SKM001;0.18;0;-3.551;0.92;10/2/2015 13:00;42165144.36;0.000258;0.112181;93.978039;204.188464;309.745066;845.585143;3.497;13/2/2015 05:00;42165023.56;0.00023;0.057118;75.946377;232.434229;182.17255;0.03;-0.011;-3.517;0.911
