MANEUVER,Maneuver Date,Delta Vr Theory,Delta Vt Theory,Delta Vn Theory,Thruster Coefficient Theory,Epoch BM,Semi Major Axis BM,Eccentricity  BM,Inclination BM,RAAN BM,Arg Of Perigee BM,Mean Anomally BM,Total Propellant,Fuel Consumed,Delta Vr Ranging,Delta Vt Ranging ,Delta Vn Ranging,Thruster Coefficient Ranging
1,-9223372037,0.138,0.0,-2.709,0.85,1399806000,42164467.42,0.000367,0.080717,70.361349,340.28196,256.149984,883.999977,3.069,0.006,0.011,-2.902,0.911
2,-9223372037,0.186,0.0,-3.667,0.85,1402146000,42166418.41,0.000376,0.110094,87.012208,331.140457,305.350875,879.511156,4.146,0.003,0.018,-3.924,0.91
3,-9223372037,0.14,0.0,-2.765,0.85,1403874000,42164783.39,0.00029,0.096526,86.110911,9.647018,287.440366,876.078223,3.162,0.025,0.009,-2.998,0.921
4,-9223372037,0.216,0.0,-4.251,0.85,1406653200,42165434.04,0.00032,0.124241,93.274961,41.982082,339.605837,870.892249,4.606,0.013,0.014,-4.59,0.918
5,-9223372037,0.2,0.0,-3.929,0.85,1410613200,42164647.09,0.000304,0.119701,93.564251,87.796029,278.690513,866.032146,4.27,0.004,-0.003,-4.263,0.922
6,-9223372037,0.211,0.0,-4.156,0.85,1414933200,42166125.6,0.000429,0.120991,80.103621,129.307145,299.947864,860.822756,4.553,0.036,0.003,-4.552,0.931
7,-9223372037,0.163,0.0,-3.202,0.92,1417190400,42165133.74,0.000369,0.10661,86.286537,140.151818,353.677681,857.187035,3.188,0.046,-0.009,-3.193,0.917
8,-9223372037,0.149,0.0,-2.931,0.92,1418907600,42165779.08,0.000377,0.097591,87.221046,163.352071,304.116413,853.858425,2.923,0.03,0.045,-2.932,0.92
9,-9223372037,0.197,0.0,-3.878,0.92,1421154000,42165978.22,0.000323,0.117381,90.876356,179.533317,309.908259,849.530402,3.811,0.027,-0.012,-3.827,0.908
10,-9223372037,0.18,0.0,-3.551,0.92,1423573200,42165144.36,0.000258,0.112181,93.978039,204.188464,309.745066,845.585143,3.497,0.03,-0.011,-3.517,0.911
11,-9223372037,0.213,0.0,-4.19,0.92,1428152400,42164413.33,0.000214,0.130724,89.984618,281.185738,288.978217,840.883876,4.208,0.02,0.002,-4.238,0.931
12,-9223372037,0.212,0.0,-4.175,0.92,1431442800,42165857.32,0.000182,0.12523,81.888105,321.712263,324.071097,836.067581,4.115,0.026,0.014,-4.152,0.915
13,-9223372037,0.177,0.0,-3.479,0.92,1433595600,42164892.06,0.000191,0.114571,85.527719,11.651836,265.077889,832.114683,3.437,0.019,0.01,-3.473,0.918
14,-9223372037,0.174,0.0,-3.416,0.92,1435672800,42166000.39,0.000284,0.111387,87.135798,13.854089,299.970497,828.230876,3.342,0.022,0.013,-3.382,0.911
15,-9223372037,0.149,0.0,-2.931,0.92,1437483600,42165419.16,0.00018,0.104381,91.469736,14.060162,301.080778,824.895717,2.885,0.009,0.007,-2.923,0.918
16,-9223372037,0.2,0.0,-3.943,0.92,1440507600,42165708.55,0.00028,0.123302,93.422777,54.094295,293.578548,820.463438,3.88,0.025,0.006,-3.936,0.918
17,-9223372037,0.188,0.0,-3.703,0.92,1444741200,42164428.03,0.000273,0.121094,87.552184,120.368449,281.484167,816.162216,3.719,0.028,0.005,-3.779,0.939
18,-9223372037,0.201,0.0,-3.964,0.92,1447783200,42164590.93,0.000283,0.125144,81.62543,156.737366,0.698879,811.59592,3.846,0.02,-0.005,-3.914,0.908
19,-9223372037,0.202,0.0,-3.966,0.92,1450116000,42166075.89,0.00034,0.126294,85.868917,174.761954,5.063348,807.104616,3.883,0.014,-0.002,-3.958,0.918
20,-9223372037,0.205,0.0,-4.032,0.92,1452448800,42167330.69,0.000227,0.128698,88.322956,190.14246,13.861608,802.350447,3.853,0.036,-0.019,-3.934,0.898
21,-9223372037,0.209,0.0,-4.119,0.92,1455109200,42164178.29,0.000132,0.12949,98.498486,202.085092,307.088263,797.771778,4.039,0.023,-0.012,-4.131,0.923
22,-9223372037,0.191,0.0,-3.763,0.92,1459263600,42164971.91,0.000152,0.126815,90.865369,279.519535,314.68369,793.504739,3.676,0.018,-0.007,-3.766,0.921
23,-9223372037,0.215,0.0,-4.232,0.92,1462813200,42165400.46,0.000145,0.131163,80.827922,314.491572,0.239716,788.606939,4.144,0.045,0.02,-4.252,0.924
24,-9223372037,0.147,0.0,-2.89,0.92,1464717600,42165340.22,0.000133,0.105666,87.745501,345.36976,359.154942,785.272392,2.819,0.028,0.013,-2.897,0.922
25,-9223372037,0.142,0.0,-2.795,0.92,1466427600,42164818.94,0.000209,0.108418,86.765615,7.033236,282.980992,782.055584,2.783,0.031,0.014,-2.864,0.943
26,-9223372037,0.155,0.0,-3.05,0.92,1468328400,42166208.81,0.000199,0.110916,90.586785,348.523076,319.350789,778.551899,2.955,0.017,0.013,-3.044,0.918
27,-9223372037,0.171,0.0,-3.37,0.92,1470477600,42166392.2,7.8e-05,0.11949,94.760641,39.62166,243.607506,774.745965,3.296,0.011,0.011,-3.4,0.928
